time,power
1584172890000000000,189
1584172892000000000,185
1584172894000000000,185
1584172896000000000,186
1584172898000000000,187
1584172900000000000,184
1584172902000000000,190
1584172904000000000,185
1584172906000000000,187
1584172908000000000,187
1584172910000000000,189
1584172912000000000,185
1584172914000000000,185
1584172916000000000,189
1584172918000000000,185
1584172920000000000,187
1584172922000000000,185
1584172924000000000,184
1584172926000000000,186
1584172928000000000,189
1584172930000000000,188
1584172932000000000,188
1584172934000000000,187
1584172936000000000,189
1584172938000000000,189
1584172940000000000,190
1584172942000000000,185
1584172944000000000,190
1584172946000000000,184
1584172948000000000,184
1584172950000000000,185
1584172952000000000,187
1584172954000000000,188
1584172956000000000,189
1584172958000000000,189
1584172960000000000,186
1584172962000000000,185
1584172964000000000,186
1584172966000000000,185
1584172968000000000,186
1584172970000000000,187
1584172972000000000,188
1584172974000000000,188
1584172976000000000,188
1584172978000000000,188
1584172980000000000,186
1584172982000000000,189
1584172984000000000,185
1584172986000000000,185
1584172988000000000,183
1584172990000000000,185
1584172992000000000,185
1584172994000000000,187
1584172996000000000,187
1584172998000000000,184
1584173000000000000,186
1584173002000000000,187
1584173004000000000,188
1584173006000000000,189
1584173008000000000,190
1584173010000000000,189
1584173012000000000,188
1584173014000000000,190
1584173016000000000,188
1584173018000000000,191
1584173020000000000,186
1584173022000000000,187
1584173024000000000,186
1584173026000000000,188
1584173028000000000,187
1584173030000000000,187
1584173032000000000,185
1584173034000000000,185
1584173036000000000,189
1584173038000000000,190
1584173040000000000,185
1584173042000000000,187
1584173044000000000,184
1584173046000000000,189
1584173048000000000,189
1584173050000000000,185
1584173052000000000,187
1584173054000000000,186
1584173056000000000,186
1584173058000000000,126
1584173060000000000,126
1584173062000000000,126
1584173064000000000,127
1584173066000000000,129
1584173068000000000,129
1584173070000000000,129
1584173072000000000,127
1584173074000000000,130
1584173076000000000,126
1584173078000000000,128
1584173080000000000,128
1584173082000000000,126
1584173084000000000,129
1584173086000000000,128
1584173088000000000,127
1584173090000000000,128
1584173092000000000,127
1584173094000000000,127
1584173096000000000,128
1584173098000000000,127
1584173100000000000,126
1584173102000000000,127
1584173104000000000,127
1584173106000000000,126
1584173108000000000,129
1584173110000000000,126
1584173112000000000,129
1584173114000000000,129
1584173116000000000,126
1584173118000000000,129
1584173120000000000,128
1584173122000000000,128
1584173124000000000,130
1584173126000000000,127
1584173128000000000,127
1584173130000000000,126
1584173132000000000,127
1584173134000000000,129
1584173136000000000,131
1584173138000000000,129
1584173140000000000,129
1584173142000000000,126
1584173144000000000,128
1584173146000000000,129
1584173148000000000,126
1584173150000000000,128
1584173152000000000,129
1584173154000000000,128
1584173156000000000,128
1584173158000000000,129
1584173160000000000,127
1584173162000000000,130
1584173164000000000,129
1584173166000000000,128
1584173168000000000,127
1584173170000000000,129
1584173172000000000,128
1584173174000000000,129
1584173176000000000,130
1584173178000000000,127
1584173180000000000,130
1584173182000000000,128
1584173184000000000,130
1584173186000000000,130
1584173188000000000,128
1584173190000000000,129
1584173192000000000,127
1584173194000000000,126
1584173196000000000,128
1584173198000000000,129
1584173200000000000,129
1584173202000000000,130
1584173204000000000,128
1584173206000000000,128
1584173208000000000,127
1584173210000000000,130
1584173212000000000,127
1584173214000000000,126
1584173216000000000,126
1584173218000000000,129
1584173220000000000,129
1584173222000000000,129
1584173224000000000,130
1584173226000000000,126
1584173228000000000,128
1584173230000000000,127
1584173232000000000,129
1584173234000000000,128
1584173236000000000,128
1584173238000000000,130
1584173240000000000,127
1584173242000000000,128
1584173244000000000,128
1584173246000000000,102
1584173248000000000,100
1584173250000000000,102
1584173252000000000,103
1584173254000000000,102
1584173256000000000,103
1584173258000000000,103
1584173260000000000,103
1584173262000000000,102
1584173264000000000,103
1584173266000000000,103
1584173268000000000,102
1584173270000000000,102
1584173272000000000,101
1584173274000000000,103
1584173276000000000,102
1584173278000000000,103
1584173280000000000,104
1584173282000000000,104
1584173284000000000,103
1584173286000000000,101
1584173288000000000,103
1584173290000000000,102
1584173292000000000,102
1584173294000000000,103
1584173296000000000,101
1584173298000000000,103
1584173300000000000,101
1584173302000000000,104
1584173304000000000,104
1584173306000000000,103
1584173308000000000,104
1584173310000000000,103
1584173312000000000,104
1584173314000000000,104
1584173316000000000,104
1584173318000000000,103
1584173320000000000,104
1584173322000000000,102
1584173324000000000,101
1584173326000000000,103
1584173328000000000,102
1584173330000000000,103
1584173332000000000,100
1584173334000000000,103
